% generated: 2015.09.01 16:57:43

@relation "CheS-Mapper-Dataset"

@attribute "STRUCTURE_MolecularWeight_881152140" numeric
@attribute "LOG_ER_RBA_443816617" numeric
@attribute "ActivityCategory_ER_RBA_1291354987" {"active medium","active strong","active weak","inactive","slight binder"}
@attribute "F1_Ring_1382529864" {0,1}
@attribute "F2_AromaticRing_547664213" {0,1}
@attribute "F3_PhenolicRing_448747194" {0,1}
@attribute "F4_Heteroatom_315911517" {0,1}
@attribute "F5_Phenol3nPhenyl_2105948596" {0,1}
@attribute "Hydroquinones (P450 mediated activation to quinones and quinone-type chemicals)_2016215368" {0,1}
@attribute "Alkyl-phenols (P450 mediated activation to quinones and quinone-type chemicals)_415732337" {0,1}
@attribute "Arenes (P450 mediated activation to quinones and quinone-type chemicals)_692628145" {0,1}

@data
0.3410557669710999,0.9997040769399955,"active medium",1,1,1,0,1,0,0,0
0.2868995215459249,0.9996580888968868,"active medium",1,1,1,0,1,0,1,0
0.31007398726446195,0.9995751104712775,"active medium",1,1,1,0,1,0,0,0
0.33724389694144147,0.999442145042289,"active weak",1,1,1,0,1,0,0,0
0.2172922768046983,0.9995091276268171,"active weak",1,1,1,0,0,0,1,0
0.4335948422697174,0.49987003379121425,"slight binder",1,1,0,0,0,0,0,0
0.5740459384074614,0.49987003379121425,"slight binder",1,1,0,0,0,0,0,0
0.4420584136888833,0.9998880291124307,"active strong",1,1,1,0,0,0,0,0
0.403019326384376,0.0,"inactive",1,1,1,0,1,1,0,0
0.3720454860565145,0.9995051286665466,"active weak",1,1,1,0,1,1,0,0
0.2520140848452364,0.0,"inactive",1,1,0,0,0,0,0,1
0.40311091970538326,0.0,"inactive",1,1,1,0,1,1,0,0
0.3141472758635914,0.9994621398436405,"active weak",1,1,0,0,0,0,0,0
0.3103305647493132,0.0,"inactive",1,1,0,0,0,0,0,0
0.37985241275784587,0.0,"inactive",1,1,1,0,1,1,1,0
0.24811042785118584,0.0,"inactive",1,1,0,0,0,0,0,0
0.6550409633216192,0.0,"inactive",1,1,1,0,1,0,0,0
0.4327614011415665,0.9996800831783735,"active medium",1,1,1,0,1,0,0,0
1.0,0.9993311738947873,"active weak",1,1,1,0,1,1,0,0
0.2790922075578239,0.9993991562193829,"active weak",1,1,1,0,1,0,0,0
0.2790922075578239,0.0,"inactive",1,1,1,0,1,0,0,0
0.3762746575804027,0.0,"inactive",1,0,0,1,0,0,0,0
